                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4188,                 2.3239,                 1.5814,                 0.7653,                0.17555,                 0.4109,                0.21355,                 1.4923,                 2.7806,                 1.8167,             0.00036446,             0.00036446,             0.00036446
                      2,                 1.3632,                 1.5018,                  1.464,                0.76618,                0.53927,                 0.5927,                0.31025,                 1.5754,                 1.6581,                 1.7865,             0.00071054,             0.00071054,             0.00071054
                      3,                 1.3723,                 1.4029,                   1.47,                0.75401,                0.54748,                0.65057,                0.32431,                 1.6195,                 1.6012,                  1.854,              0.0010322,              0.0010322,              0.0010322
                      4,                 1.3656,                 1.3147,                 1.4613,                0.63294,                0.64173,                0.65618,                0.31377,                 1.7073,                 1.5586,                 2.0125,               0.001001,               0.001001,               0.001001
                      5,                 1.3563,                 1.2146,                 1.4382,                0.79415,                0.63137,                0.70316,                 0.3557,                 1.6285,                 1.3017,                 1.8277,             0.00096435,             0.00096435,             0.00096435
                      6,                 1.3204,                 1.1622,                 1.4388,                0.72872,                0.76305,                0.80903,                0.41624,                 1.5388,                 1.0667,                 1.7252,             0.00092769,             0.00092769,             0.00092769
                      7,                 1.3012,                 1.0855,                 1.4098,                 0.6449,                0.78951,                 0.8066,                  0.426,                 1.4885,                 1.1247,                 1.7069,             0.00089102,             0.00089102,             0.00089102
                      8,                 1.2947,                 1.0501,                 1.4037,                0.82693,                 0.7352,                0.83823,                0.45017,                 1.4767,                 1.0696,                 1.7106,             0.00085436,             0.00085436,             0.00085436
                      9,                 1.2802,                 1.0147,                 1.3942,                0.73976,                0.74154,                0.81374,                 0.4477,                 1.4687,                0.99673,                 1.7127,              0.0008177,              0.0008177,              0.0008177
                     10,                 1.2918,                0.99781,                 1.3915,                0.78608,                0.73982,                0.80973,                0.43042,                 1.4593,                0.94823,                 1.6952,             0.00078103,             0.00078103,             0.00078103
                     11,                 1.2715,                0.95756,                   1.38,                0.72845,                0.78703,                0.80955,                0.43307,                 1.4886,                0.98027,                 1.7325,             0.00074437,             0.00074437,             0.00074437
                     12,                  1.256,                0.91585,                 1.3745,                0.76184,                0.77227,                0.83431,                0.45053,                 1.4661,                0.94624,                 1.6818,             0.00070771,             0.00070771,             0.00070771
                     13,                 1.2491,                0.89614,                 1.3586,                0.77724,                0.68981,                0.75876,                 0.4004,                 1.5474,                0.93154,                  1.756,             0.00067104,             0.00067104,             0.00067104
                     14,                 1.2216,                0.86382,                 1.3469,                0.85732,                0.76162,                0.86271,                0.47376,                 1.4652,                0.86963,                 1.6541,             0.00063438,             0.00063438,             0.00063438
                     15,                 1.2182,                0.86129,                 1.3522,                0.80316,                0.77668,                0.81455,                0.44715,                 1.4841,                 0.8767,                 1.6936,             0.00059772,             0.00059772,             0.00059772
                     16,                 1.2122,                0.83835,                 1.3409,                0.80869,                0.75139,                0.81594,                0.45396,                 1.4637,                0.81771,                 1.6924,             0.00056105,             0.00056105,             0.00056105
                     17,                 1.2169,                0.84182,                 1.3499,                0.81987,                 0.7905,                0.82693,                0.46005,                 1.4281,                0.84658,                 1.6389,             0.00052439,             0.00052439,             0.00052439
                     18,                 1.1913,                0.80839,                 1.3222,                0.85034,                0.80164,                0.86323,                0.48868,                 1.4203,                0.81087,                 1.6394,             0.00048773,             0.00048773,             0.00048773
                     19,                 1.1898,                 0.7947,                 1.3235,                0.76458,                0.81222,                0.82491,                0.47438,                 1.3893,                0.79814,                  1.635,             0.00045107,             0.00045107,             0.00045107
                     20,                 1.1679,                0.76132,                 1.3252,                0.89966,                0.78754,                 0.8812,                0.48751,                 1.4193,                0.76207,                  1.631,              0.0004144,              0.0004144,              0.0004144
                     21,                 1.1804,                0.75898,                 1.3468,                0.88512,                0.78739,                0.86868,                0.49549,                 1.4207,                0.77725,                  1.659,             0.00037774,             0.00037774,             0.00037774
                     22,                 1.1627,                0.72711,                 1.3332,                0.88145,                0.80552,                0.88413,                0.50769,                 1.4283,                 0.7819,                 1.6718,             0.00034108,             0.00034108,             0.00034108
